Disease_pair,Disease_A,Disease_B,RR,Comorbidity_RR=0,Comorbidity_RR=1
hereditary_sensory_and_motor_neuropathy & muscular_dystrophies,hereditary_sensory_and_motor_neuropathy,muscular_dystrophies,167.205729,1,1
peripheral_nervous_system_diseases & polyneuropathies,peripheral_nervous_system_diseases,polyneuropathies,166.41065,1,1
abnormalities_multiple & intellectual_disability,abnormalities_multiple,intellectual_disability,162.86645,1,1
spondylarthropathies & spondylitis,spondylarthropathies,spondylitis,150.950407,1,1
bile_duct_diseases & cholestasis,bile_duct_diseases,cholestasis,147.360546,1,1
intellectual_disability & malformations_of_cortical_development,intellectual_disability,malformations_of_cortical_development,139.599814,1,1
craniofacial_abnormalities & spinocerebellar_degenerations,craniofacial_abnormalities,spinocerebellar_degenerations,123.589417,1,1
leprosy & malformations_of_cortical_development,leprosy,malformations_of_cortical_development,121.859768,1,1
adrenal_gland_diseases & dwarfism,adrenal_gland_diseases,dwarfism,120.813353,1,1
blood_coagulation_disorders & blood_coagulation_disorders_inherited,blood_coagulation_disorders,blood_coagulation_disorders_inherited,113.896214,1,1
craniofacial_abnormalities & vascular_diseases,craniofacial_abnormalities,vascular_diseases,113.873268,1,1
leukemia_myeloid_acute & myeloproliferative_disorders,leukemia_myeloid_acute,myeloproliferative_disorders,106.715374,1,1
craniofacial_abnormalities & spondylitis_ankylosing,craniofacial_abnormalities,spondylitis_ankylosing,105.481209,1,1
muscular_dystrophies & spastic_paraplegia_hereditary,muscular_dystrophies,spastic_paraplegia_hereditary,102.985306,1,1
liver_cirrhosis & liver_cirrhosis_biliary,liver_cirrhosis,liver_cirrhosis_biliary,101.992782,1,1
leukemia_lymphocytic_chronic_b_cell & precursor_cell_lymphoblastic_leukemia_lymphoma,leukemia_lymphocytic_chronic_b_cell,precursor_cell_lymphoblastic_leukemia_lymphoma,99.878939,1,1
leukemia & leukemia_b_cell,leukemia,leukemia_b_cell,95.233123,1,1
liver_cirrhosis_biliary & myocardial_infarction,liver_cirrhosis_biliary,myocardial_infarction,94.433631,1,1
leukemia & leukemia_lymphocytic_chronic_b_cell,leukemia,leukemia_lymphocytic_chronic_b_cell,89.987621,1,1
exophthalmos & vascular_diseases,exophthalmos,vascular_diseases,85.321768,1,1
blood_platelet_disorders & hemorrhagic_disorders,blood_platelet_disorders,hemorrhagic_disorders,80.622136,1,1
spastic_paraplegia_hereditary & spinal_cord_diseases,spastic_paraplegia_hereditary,spinal_cord_diseases,76.740664,1,1
autoimmune_diseases & immunologic_deficiency_syndromes,autoimmune_diseases,immunologic_deficiency_syndromes,71.129537,1,1
nervous_system_diseases & vascular_diseases,nervous_system_diseases,vascular_diseases,70.362312,1,1
hereditary_sensory_and_motor_neuropathy & polyneuropathies,hereditary_sensory_and_motor_neuropathy,polyneuropathies,68.748694,1,1
charcot_marie_tooth_disease & polyneuropathies,charcot_marie_tooth_disease,polyneuropathies,68.748694,1,1
charcot_marie_tooth_disease & dwarfism,charcot_marie_tooth_disease,dwarfism,66.293384,1,1
dwarfism & hereditary_sensory_and_motor_neuropathy,dwarfism,hereditary_sensory_and_motor_neuropathy,66.293384,1,1
movement_disorders & neuroendocrine_tumors,movement_disorders,neuroendocrine_tumors,65.865472,1,1
autoimmune_diseases & polyneuropathies,autoimmune_diseases,polyneuropathies,62.774639,1,1
purine_pyrimidine_metabolism_inborn_errors & spinal_cord_diseases,purine_pyrimidine_metabolism_inborn_errors,spinal_cord_diseases,62.441161,1,1
celiac_disease & lysosomal_storage_diseases,celiac_disease,lysosomal_storage_diseases,56.758356,1,1
lysosomal_storage_diseases & malabsorption_syndromes,lysosomal_storage_diseases,malabsorption_syndromes,56.758356,1,1
amino_acid_metabolism_inborn_errors & purine_pyrimidine_metabolism_inborn_errors,amino_acid_metabolism_inborn_errors,purine_pyrimidine_metabolism_inborn_errors,55.752357,1,1
leukemia_b_cell & thyroid_diseases,leukemia_b_cell,thyroid_diseases,48.490933,1,1
behcet_syndrome & blood_platelet_disorders,behcet_syndrome,blood_platelet_disorders,47.548335,1,1
adrenal_gland_diseases & uveal_diseases,adrenal_gland_diseases,uveal_diseases,47.358834,1,1
leukemia & lymphoproliferative_disorders,leukemia,lymphoproliferative_disorders,47.160156,1,1
polyneuropathies & spinocerebellar_degenerations,polyneuropathies,spinocerebellar_degenerations,46.9509,1,1
basal_ganglia_diseases & parkinsonian_disorders,basal_ganglia_diseases,parkinsonian_disorders,46.538102,1,1
basal_ganglia_diseases & dyskinesias,basal_ganglia_diseases,dyskinesias,46.538102,1,1
arthritis_rheumatoid & stomatognathic_diseases,arthritis_rheumatoid,stomatognathic_diseases,46.307873,1,1
anemia_aplastic & precursor_cell_lymphoblastic_leukemia_lymphoma,anemia_aplastic,precursor_cell_lymphoblastic_leukemia_lymphoma,45.985522,1,1
muscular_dystrophies & peripheral_nervous_system_diseases,muscular_dystrophies,peripheral_nervous_system_diseases,43.519597,1,1
muscular_dystrophies & uveal_diseases,muscular_dystrophies,uveal_diseases,43.17144,1,1
anemia_aplastic & leukemia_myeloid_acute,anemia_aplastic,leukemia_myeloid_acute,42.767705,1,1
cardiomyopathies & cardiomyopathy_hypertrophic,cardiomyopathies,cardiomyopathy_hypertrophic,41.666667,1,1
autoimmune_diseases & lupus_erythematosus_systemic,autoimmune_diseases,lupus_erythematosus_systemic,41.508728,1,1
dyssomnias & muscular_dystrophies,dyssomnias,muscular_dystrophies,39.973556,1,1
leprosy & spinal_cord_diseases,leprosy,spinal_cord_diseases,39.578846,1,1
immunologic_deficiency_syndromes & mycobacterium_infections,immunologic_deficiency_syndromes,mycobacterium_infections,39.033881,1,1
motor_neuron_disease & polyneuropathies,motor_neuron_disease,polyneuropathies,38.282487,1,1
amyotrophic_lateral_sclerosis & polyneuropathies,amyotrophic_lateral_sclerosis,polyneuropathies,38.282487,1,1
leukemia & myeloproliferative_disorders,leukemia,myeloproliferative_disorders,37.650723,1,1
muscular_dystrophies & spinocerebellar_degenerations,muscular_dystrophies,spinocerebellar_degenerations,36.8357,1,1
dyskinesias & movement_disorders,dyskinesias,movement_disorders,36.266693,1,1
blood_platelet_disorders & leukemia,blood_platelet_disorders,leukemia,36.104913,1,1
craniofacial_abnormalities & spinal_cord_diseases,craniofacial_abnormalities,spinal_cord_diseases,36.003678,1,1
dyssomnias & respiratory_tract_diseases,dyssomnias,respiratory_tract_diseases,35.85119,1,1
amino_acid_metabolism_inborn_errors & leukemia_lymphocytic_chronic_b_cell,amino_acid_metabolism_inborn_errors,leukemia_lymphocytic_chronic_b_cell,35.810925,1,1
hair_diseases & ovarian_diseases,hair_diseases,ovarian_diseases,34.841641,1,1
behcet_syndrome & crohn_disease,behcet_syndrome,crohn_disease,34.397062,1,1
amino_acid_metabolism_inborn_errors & leukemia_b_cell,amino_acid_metabolism_inborn_errors,leukemia_b_cell,34.356386,1,1
autoimmune_diseases & vasculitis,autoimmune_diseases,vasculitis,33.108149,1,1
immunologic_deficiency_syndromes & polyneuropathies,immunologic_deficiency_syndromes,polyneuropathies,32.989481,1,1
behcet_syndrome & hair_diseases,behcet_syndrome,hair_diseases,32.700947,1,1
immunologic_deficiency_syndromes & leukemia_lymphocytic_chronic_b_cell,immunologic_deficiency_syndromes,leukemia_lymphocytic_chronic_b_cell,32.629624,1,1
immunologic_deficiency_syndromes & leukemia_b_cell,immunologic_deficiency_syndromes,leukemia_b_cell,31.725689,1,1
muscular_diseases & polyneuropathies,muscular_diseases,polyneuropathies,31.717198,1,1
ectodermal_dysplasia & macular_degeneration,ectodermal_dysplasia,macular_degeneration,31.452247,1,1
anemia_aplastic & leukemia,anemia_aplastic,leukemia,30.388657,1,1
muscular_diseases & vasculitis,muscular_diseases,vasculitis,30.329691,1,1
demyelinating_diseases & muscular_dystrophies,demyelinating_diseases,muscular_dystrophies,30.081172,1,1
multiple_sclerosis & muscular_dystrophies,multiple_sclerosis,muscular_dystrophies,30.081172,1,1
arterial_occlusive_diseases & death_sudden,arterial_occlusive_diseases,death_sudden,29.09969,1,1
hypotrichosis & neoplasms_germ_cell_and_embryonal,hypotrichosis,neoplasms_germ_cell_and_embryonal,29.056765,1,1
hypotrichosis & ovarian_neoplasms,hypotrichosis,ovarian_neoplasms,29.056765,1,1
leprosy & mycobacterium_infections,leprosy,mycobacterium_infections,28.481415,1,1
immunologic_deficiency_syndromes & precursor_cell_lymphoblastic_leukemia_lymphoma,immunologic_deficiency_syndromes,precursor_cell_lymphoblastic_leukemia_lymphoma,28.209077,1,1
sleep_disorders & vascular_diseases,sleep_disorders,vascular_diseases,27.866737,1,1
blood_platelet_disorders & leukemia_myeloid_acute,blood_platelet_disorders,leukemia_myeloid_acute,27.544542,1,1
leukemia_myeloid_acute & precursor_cell_lymphoblastic_leukemia_lymphoma,leukemia_myeloid_acute,precursor_cell_lymphoblastic_leukemia_lymphoma,26.754822,1,1
leukemia_lymphocytic_chronic_b_cell & leukemia_myeloid_acute,leukemia_lymphocytic_chronic_b_cell,leukemia_myeloid_acute,26.754822,1,1
behcet_syndrome & vasculitis,behcet_syndrome,vasculitis,26.449527,1,1
death_sudden & mycobacterium_infections,death_sudden,mycobacterium_infections,26.274622,1,1
metabolism_inborn_errors & peripheral_nervous_system_diseases,metabolism_inborn_errors,peripheral_nervous_system_diseases,25.758897,1,1
immunologic_deficiency_syndromes & leukemia,immunologic_deficiency_syndromes,leukemia,25.076464,1,1
hereditary_sensory_and_motor_neuropathy & spastic_paraplegia_hereditary,hereditary_sensory_and_motor_neuropathy,spastic_paraplegia_hereditary,24.796762,1,1
charcot_marie_tooth_disease & spastic_paraplegia_hereditary,charcot_marie_tooth_disease,spastic_paraplegia_hereditary,24.796762,1,1
amino_acid_metabolism_inborn_errors & polyneuropathies,amino_acid_metabolism_inborn_errors,polyneuropathies,24.424842,1,1
immunologic_deficiency_syndromes & lymphoma,immunologic_deficiency_syndromes,lymphoma,23.875652,1,1
amino_acid_metabolism_inborn_errors & precursor_cell_lymphoblastic_leukemia_lymphoma,amino_acid_metabolism_inborn_errors,precursor_cell_lymphoblastic_leukemia_lymphoma,23.869158,1,1
hemorrhagic_disorders & leukemia_myeloid_acute,hemorrhagic_disorders,leukemia_myeloid_acute,23.70314,1,1
intestinal_neoplasms & neoplasms_connective_and_soft_tissue,intestinal_neoplasms,neoplasms_connective_and_soft_tissue,23.423186,1,1
aneurysm & ectodermal_dysplasia,aneurysm,ectodermal_dysplasia,23.27926,1,1
hypopigmentation & hypotrichosis,hypopigmentation,hypotrichosis,22.796139,1,1
muscular_diseases & mycobacterium_infections,muscular_diseases,mycobacterium_infections,22.744538,1,1
colorectal_neoplasms & intestinal_neoplasms,colorectal_neoplasms,intestinal_neoplasms,22.651517,1,1
liver_cirrhosis & metabolism_inborn_errors,liver_cirrhosis,metabolism_inborn_errors,22.603806,1,1
liver_cirrhosis_biliary & metabolism_inborn_errors,liver_cirrhosis_biliary,metabolism_inborn_errors,22.603806,1,1
intellectual_disability & spinocerebellar_degenerations,intellectual_disability,spinocerebellar_degenerations,22.234328,1,1
crohn_disease & lysosomal_storage_diseases,crohn_disease,lysosomal_storage_diseases,22.22,1,1
charcot_marie_tooth_disease & spinocerebellar_degenerations,charcot_marie_tooth_disease,spinocerebellar_degenerations,22.173214,1,1
hereditary_sensory_and_motor_neuropathy & spinocerebellar_degenerations,hereditary_sensory_and_motor_neuropathy,spinocerebellar_degenerations,22.173214,1,1
breast_diseases & breast_neoplasms,breast_diseases,breast_neoplasms,21.868161,1,1
behcet_syndrome & cerebellar_ataxia,behcet_syndrome,cerebellar_ataxia,21.828708,1,1
demyelinating_diseases & spastic_paraplegia_hereditary,demyelinating_diseases,spastic_paraplegia_hereditary,21.27585,1,1
multiple_sclerosis & spastic_paraplegia_hereditary,multiple_sclerosis,spastic_paraplegia_hereditary,21.27585,1,1
dyskinesias & intellectual_disability,dyskinesias,intellectual_disability,21.258304,1,1
blood_platelet_disorders & myeloproliferative_disorders,blood_platelet_disorders,myeloproliferative_disorders,20.773933,1,1
amyotrophic_lateral_sclerosis & muscular_dystrophies,amyotrophic_lateral_sclerosis,muscular_dystrophies,20.713675,1,1
motor_neuron_disease & muscular_dystrophies,motor_neuron_disease,muscular_dystrophies,20.713675,1,1
ovarian_diseases & polyneuropathies,ovarian_diseases,polyneuropathies,20.702203,1,1
pancreatic_diseases & purine_pyrimidine_metabolism_inborn_errors,pancreatic_diseases,purine_pyrimidine_metabolism_inborn_errors,20.594978,1,1
cranial_nerve_diseases & demyelinating_diseases,cranial_nerve_diseases,demyelinating_diseases,20.475989,1,1
cranial_nerve_diseases & multiple_sclerosis,cranial_nerve_diseases,multiple_sclerosis,20.475989,1,1
lymphoma & precursor_cell_lymphoblastic_leukemia_lymphoma,lymphoma,precursor_cell_lymphoblastic_leukemia_lymphoma,20.450784,1,1
hair_diseases & hypopigmentation,hair_diseases,hypopigmentation,20.38052,1,1
genital_diseases_female & ovarian_neoplasms,genital_diseases_female,ovarian_neoplasms,20.306566,1,1
breast_diseases & neuroendocrine_tumors,breast_diseases,neuroendocrine_tumors,20.283121,1,1
exophthalmos & graves_disease,exophthalmos,graves_disease,20.161514,1,1
metabolism_inborn_errors & vascular_diseases,metabolism_inborn_errors,vascular_diseases,20.088699,1,1
anemia_aplastic & lymphoma,anemia_aplastic,lymphoma,19.629895,1,1
macular_degeneration & uveal_diseases,macular_degeneration,uveal_diseases,19.374584,1,1
carbohydrate_metabolism_inborn_errors & neuroendocrine_tumors,carbohydrate_metabolism_inborn_errors,neuroendocrine_tumors,18.865405,1,1
adrenal_gland_diseases & lipidoses,adrenal_gland_diseases,lipidoses,18.763405,1,1
alzheimer_disease & neuroendocrine_tumors,alzheimer_disease,neuroendocrine_tumors,18.566554,1,1
respiratory_tract_diseases & spastic_paraplegia_hereditary,respiratory_tract_diseases,spastic_paraplegia_hereditary,18.472941,1,1
lipid_metabolism_disorders & lipidoses,lipid_metabolism_disorders,lipidoses,18.41245,1,1
anemia_aplastic & immunologic_deficiency_syndromes,anemia_aplastic,immunologic_deficiency_syndromes,18.219539,1,1
abnormalities_multiple & bone_diseases_metabolic,abnormalities_multiple,bone_diseases_metabolic,18.059569,1,1
blood_platelet_disorders & vascular_diseases,blood_platelet_disorders,vascular_diseases,17.643722,1,1
hypotrichosis & neoplasms_connective_and_soft_tissue,hypotrichosis,neoplasms_connective_and_soft_tissue,17.642612,1,1
death_sudden & hemorrhagic_disorders,death_sudden,hemorrhagic_disorders,17.535932,1,1
blood_platelet_disorders & precursor_cell_lymphoblastic_leukemia_lymphoma,blood_platelet_disorders,precursor_cell_lymphoblastic_leukemia_lymphoma,17.406526,1,1
hypotrichosis & lymphoma,hypotrichosis,lymphoma,17.387802,1,1
muscular_dystrophies & polyneuropathies,muscular_dystrophies,polyneuropathies,17.131524,1,1
amino_acid_metabolism_inborn_errors & mycobacterium_infections,amino_acid_metabolism_inborn_errors,mycobacterium_infections,17.125933,1,1
cholestasis & pancreatic_diseases,cholestasis,pancreatic_diseases,17.090401,1,1
head_and_neck_neoplasms & neoplasms_connective_and_soft_tissue,head_and_neck_neoplasms,neoplasms_connective_and_soft_tissue,16.90996,1,1
breast_diseases & lymphatic_diseases,breast_diseases,lymphatic_diseases,16.908781,1,1
immunologic_deficiency_syndromes & vasculitis,immunologic_deficiency_syndromes,vasculitis,16.670063,1,1
dementia & neuroendocrine_tumors,dementia,neuroendocrine_tumors,16.558341,1,1
cerebellar_ataxia & polyneuropathies,cerebellar_ataxia,polyneuropathies,16.354207,1,1
polyneuropathies & spinocerebellar_ataxias,polyneuropathies,spinocerebellar_ataxias,16.336404,1,1
immunologic_deficiency_syndromes & muscular_diseases,immunologic_deficiency_syndromes,muscular_diseases,16.335705,1,1
leukemia & lymphatic_diseases,leukemia,lymphatic_diseases,16.130007,1,1
hypopigmentation & sleep_disorders,hypopigmentation,sleep_disorders,15.601448,1,1
peripheral_nervous_system_diseases & spinocerebellar_ataxias,peripheral_nervous_system_diseases,spinocerebellar_ataxias,15.562401,1,1
colorectal_neoplasms & purine_pyrimidine_metabolism_inborn_errors,colorectal_neoplasms,purine_pyrimidine_metabolism_inborn_errors,15.552304,1,1
genital_diseases_female & ovarian_diseases,genital_diseases_female,ovarian_diseases,15.500065,1,1
adenocarcinoma & dyssomnias,adenocarcinoma,dyssomnias,15.479231,1,1
leukemia & lymphoma,leukemia,lymphoma,15.476673,1,1
lymphoma & stomatognathic_diseases,lymphoma,stomatognathic_diseases,15.476673,1,1
liver_cirrhosis & varicose_veins,liver_cirrhosis,varicose_veins,15.370348,1,1
liver_cirrhosis_biliary & varicose_veins,liver_cirrhosis_biliary,varicose_veins,15.370348,1,1
amino_acid_metabolism_inborn_errors & muscular_diseases,amino_acid_metabolism_inborn_errors,muscular_diseases,15.31992,1,1
amino_acid_metabolism_inborn_errors & leukemia,amino_acid_metabolism_inborn_errors,leukemia,15.265526,1,1
aneurysm & disorders_of_sex_development,aneurysm,disorders_of_sex_development,15.06305,1,1
dwarfism & neoplasms_connective_and_soft_tissue,dwarfism,neoplasms_connective_and_soft_tissue,15.06223,1,1
autoimmune_diseases & stomatognathic_diseases,autoimmune_diseases,stomatognathic_diseases,15.052533,1,1
neuroendocrine_tumors & vasculitis,neuroendocrine_tumors,vasculitis,14.933226,1,1
ankylosis & spondylitis_ankylosing,ankylosis,spondylitis_ankylosing,14.865213,1,1
blood_coagulation_disorders & purine_pyrimidine_metabolism_inborn_errors,blood_coagulation_disorders,purine_pyrimidine_metabolism_inborn_errors,14.856028,1,1
blood_coagulation_disorders_inherited & purine_pyrimidine_metabolism_inborn_errors,blood_coagulation_disorders_inherited,purine_pyrimidine_metabolism_inborn_errors,14.856028,1,1
cholestasis & intestinal_neoplasms,cholestasis,intestinal_neoplasms,14.72547,1,1
behcet_syndrome & lupus_erythematosus_systemic,behcet_syndrome,lupus_erythematosus_systemic,14.326021,1,1
coronary_disease & neoplasms,coronary_disease,neoplasms,14.271991,1,1
hemorrhagic_disorders & metabolism_inborn_errors,hemorrhagic_disorders,metabolism_inborn_errors,14.235557,1,1
spinal_cord_diseases & spondylitis_ankylosing,spinal_cord_diseases,spondylitis_ankylosing,14.223416,1,1
abnormalities_multiple & vasculitis,abnormalities_multiple,vasculitis,14.186564,1,1
lupus_erythematosus_systemic & vasculitis,lupus_erythematosus_systemic,vasculitis,14.149361,1,1
death_sudden & stomatognathic_diseases,death_sudden,stomatognathic_diseases,13.977352,1,1
hair_diseases & precursor_cell_lymphoblastic_leukemia_lymphoma,hair_diseases,precursor_cell_lymphoblastic_leukemia_lymphoma,13.966382,1,1
bile_duct_diseases & pancreatic_diseases,bile_duct_diseases,pancreatic_diseases,13.744937,1,1
myocardial_infarction & myocardial_ischemia,myocardial_infarction,myocardial_ischemia,13.744556,1,1
coronary_artery_disease & myocardial_ischemia,coronary_artery_disease,myocardial_ischemia,13.744338,1,1
polyneuropathies & spinal_cord_diseases,polyneuropathies,spinal_cord_diseases,13.677588,1,1
anemia_aplastic & hypotrichosis,anemia_aplastic,hypotrichosis,13.650777,1,1
movement_disorders & sleep_disorders,movement_disorders,sleep_disorders,13.649014,1,1
demyelinating_diseases & spinocerebellar_degenerations,demyelinating_diseases,spinocerebellar_degenerations,13.589158,1,1
multiple_sclerosis & spinocerebellar_degenerations,multiple_sclerosis,spinocerebellar_degenerations,13.589158,1,1
leukemia_lymphocytic_chronic_b_cell & lymphoma,leukemia_lymphocytic_chronic_b_cell,lymphoma,13.582556,1,1
immune_system_diseases & nervous_system_diseases,immune_system_diseases,nervous_system_diseases,13.41593,1,1
immunologic_deficiency_syndromes & nervous_system_diseases,immunologic_deficiency_syndromes,nervous_system_diseases,13.414398,1,1
amino_acid_metabolism_inborn_errors & anemia_aplastic,amino_acid_metabolism_inborn_errors,anemia_aplastic,13.342488,1,1
hemorrhagic_disorders & myeloproliferative_disorders,hemorrhagic_disorders,myeloproliferative_disorders,13.327293,1,1
immune_system_diseases & polyneuropathies,immune_system_diseases,polyneuropathies,13.325161,1,1
amino_acid_metabolism_inborn_errors & lymphoma,amino_acid_metabolism_inborn_errors,lymphoma,13.291472,1,1
hemorrhagic_disorders & immunologic_deficiency_syndromes,hemorrhagic_disorders,immunologic_deficiency_syndromes,13.025791,1,1
lupus_erythematosus_systemic & muscular_diseases,lupus_erythematosus_systemic,muscular_diseases,12.991809,1,1
anemia_aplastic & neoplasms_germ_cell_and_embryonal,anemia_aplastic,neoplasms_germ_cell_and_embryonal,12.969008,1,1
anemia_aplastic & ovarian_neoplasms,anemia_aplastic,ovarian_neoplasms,12.969008,1,1
lipidoses & retinitis_pigmentosa,lipidoses,retinitis_pigmentosa,12.892502,1,1
hypersensitivity & peripheral_nervous_system_diseases,hypersensitivity,peripheral_nervous_system_diseases,12.866803,1,1
abnormalities_multiple & aneurysm,abnormalities_multiple,aneurysm,12.803593,1,1
neoplasms & neoplasms_connective_and_soft_tissue,neoplasms,neoplasms_connective_and_soft_tissue,12.761659,1,1
myeloproliferative_disorders & purine_pyrimidine_metabolism_inborn_errors,myeloproliferative_disorders,purine_pyrimidine_metabolism_inborn_errors,12.531425,1,1
macular_degeneration & uveitis,macular_degeneration,uveitis,12.50851,1,1
autoimmune_diseases & muscular_diseases,autoimmune_diseases,muscular_diseases,12.433878,1,1
intellectual_disability & spastic_paraplegia_hereditary,intellectual_disability,spastic_paraplegia_hereditary,12.432553,1,1
arthritis_rheumatoid & craniofacial_abnormalities,arthritis_rheumatoid,craniofacial_abnormalities,12.42874,1,1
head_and_neck_neoplasms & hypotrichosis,head_and_neck_neoplasms,hypotrichosis,12.361057,1,1
immunologic_deficiency_syndromes & lipidoses,immunologic_deficiency_syndromes,lipidoses,12.35145,1,1
amino_acid_metabolism_inborn_errors & lupus_erythematosus_systemic,amino_acid_metabolism_inborn_errors,lupus_erythematosus_systemic,12.283619,1,1
goiter & hyperthyroidism,goiter,hyperthyroidism,12.188209,1,1
goiter & graves_disease,goiter,graves_disease,12.177396,1,1
immunologic_deficiency_syndromes & lupus_erythematosus_systemic,immunologic_deficiency_syndromes,lupus_erythematosus_systemic,12.161658,1,1
endocrine_system_diseases & graves_disease,endocrine_system_diseases,graves_disease,12.151737,1,1
graves_disease & thyroid_diseases,graves_disease,thyroid_diseases,12.151737,1,1
precursor_cell_lymphoblastic_leukemia_lymphoma & stomatognathic_diseases,precursor_cell_lymphoblastic_leukemia_lymphoma,stomatognathic_diseases,11.93929,1,1
amino_acid_metabolism_inborn_errors & vasculitis,amino_acid_metabolism_inborn_errors,vasculitis,11.922423,1,1
abnormalities_multiple & rheumatic_diseases,abnormalities_multiple,rheumatic_diseases,11.887236,1,1
arthritis_rheumatoid & immunologic_deficiency_syndromes,arthritis_rheumatoid,immunologic_deficiency_syndromes,11.875426,1,1
blood_platelet_disorders & polyneuropathies,blood_platelet_disorders,polyneuropathies,11.874505,1,1
celiac_disease & intestinal_neoplasms,celiac_disease,intestinal_neoplasms,11.820098,1,1
intestinal_neoplasms & malabsorption_syndromes,intestinal_neoplasms,malabsorption_syndromes,11.820098,1,1
coronary_disease & head_and_neck_neoplasms,coronary_disease,head_and_neck_neoplasms,11.819525,1,1
hemorrhagic_disorders & leukemia,hemorrhagic_disorders,leukemia,11.651126,1,1
